Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Furnishings,6.096,3,0.6,-3.9624
Second Class,Corporate,United States,Saint Louis,Missouri,63116,Central,Office Supplies,Paper,25.92,4,0.0,12.4416
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Paper,14.94,3,0.0,7.0218
First Class,Consumer,United States,Aurora,Illinois,60505,Central,Office Supplies,Paper,186.048,6,0.2,67.4424
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,Furnishings,57.69,3,0.0,23.6529
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Binders,42.81,3,0.0,20.1207
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Paper,12.96,2,0.0,6.2208
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,Furnishings,821.88,6,0.0,213.6888
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Technology,Phones,104.85,3,0.0,28.3095
First Class,Home Office,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,8.76,2,0.0,4.2048
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories,79.512,3,0.2,20.8719
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Office Supplies,Paper,28.352,1,0.2,9.5688
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,14.4,5,0.0,7.056
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Accessories,619.95,5,0.0,111.591
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,89.52,4,0.0,42.0744
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Machines,350.973,3,0.1,152.0883
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Phones,164.99,1,0.0,49.497
First Class,Consumer,United States,Peoria,Illinois,61604,Central,Office Supplies,Binders,3.98,5,0.8,-6.567
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Art,5.248,4,0.2,1.64
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings,23.976,3,0.6,-14.3856
Standard Class,Home Office,United States,Frisco,Texas,75034,Central,Technology,Accessories,27.168,4,0.2,-1.3584
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,32.192,2,0.8,-80.48
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories,50.12,7,0.2,-0.6265
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories,47.976,3,0.2,1.7991
Standard Class,Consumer,United States,Waukesha,Wisconsin,53186,Central,Office Supplies,Storage,54.5,5,0.0,14.17
Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,Binders,49.44,3,0.0,24.2256
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Art,22.0,10,0.0,9.68
Standard Class,Consumer,United States,Detroit,Michigan,48234,Central,Technology,Phones,257.98,2,0.0,74.8142
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Furniture,Furnishings,58.36,5,0.6,-24.803
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Office Supplies,Art,16.464,7,0.2,1.4406
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Furniture,Furnishings,39.96,5,0.6,-23.976
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Appliances,25.96,2,0.0,7.5284
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Appliances,36.27,3,0.0,10.881
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Paper,6.48,1,0.0,3.1104
Standard Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Chairs,47.516,2,0.3,-2.0364
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Paper,179.82,9,0.0,84.5154
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,185.58,6,0.0,76.0878
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables,214.11,3,0.0,36.3987
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Technology,Accessories,999.96,4,0.0,229.9908
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables,653.55,3,0.0,111.1035
First Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Art,8.928,2,0.2,0.558
First Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Storage,47.584,2,0.2,-2.974
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Paper,33.792,8,0.2,10.56
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,300.5328,2,0.32,-97.2312
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Binders,2.724,2,0.8,-4.3584
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,3.264,2,0.2,1.1016
Standard Class,Consumer,United States,Huntsville,Texas,77340,Central,Office Supplies,Storage,143.728,2,0.2,-32.3388
Standard Class,Corporate,United States,Woodstock,Illinois,60098,Central,Furniture,Chairs,845.488,8,0.3,-12.0784
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,762.594,3,0.8,-1143.891
Standard Class,Home Office,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper,28.16,4,0.0,13.2352
Standard Class,Consumer,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Labels,20.23,7,0.0,9.5081
Standard Class,Consumer,United States,Woodstock,Illinois,60098,Central,Office Supplies,Binders,8.85,5,0.8,-13.7175
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Chairs,408.422,2,0.3,-5.8346
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,23.12,5,0.2,8.381
Standard Class,Corporate,United States,Highland Park,Illinois,60035,Central,Office Supplies,Paper,37.464,7,0.2,12.1758
Standard Class,Corporate,United States,Highland Park,Illinois,60035,Central,Furniture,Chairs,539.658,3,0.3,-7.7094
Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Paper,8.56,2,0.0,3.852
Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Storage,52.4,5,0.0,14.148
Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Labels,14.94,3,0.0,6.8724
Second Class,Consumer,United States,Noblesville,Indiana,46060,Central,Technology,Phones,135.72,3,0.0,35.2872
Second Class,Consumer,United States,Noblesville,Indiana,46060,Central,Office Supplies,Binders,12.56,2,0.0,5.652
Second Class,Consumer,United States,Noblesville,Indiana,46060,Central,Technology,Phones,263.96,4,0.0,71.2692
First Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Art,5.952,1,0.2,0.372
Second Class,Home Office,United States,Austin,Texas,78745,Central,Office Supplies,Binders,3.882,3,0.8,-5.823
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Fasteners,6.08,1,0.0,3.04
Standard Class,Consumer,United States,Apple Valley,Minnesota,55124,Central,Office Supplies,Art,8.64,3,0.0,2.5056
Standard Class,Home Office,United States,Saginaw,Michigan,48601,Central,Furniture,Furnishings,19.76,4,0.0,8.2992
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,90.99,1,0.0,14.5584
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,1526.56,7,0.0,427.4368
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,368.97,3,0.0,40.5867
Standard Class,Consumer,United States,Skokie,Illinois,60076,Central,Furniture,Furnishings,32.952,6,0.6,-19.7712
Standard Class,Consumer,United States,Skokie,Illinois,60076,Central,Office Supplies,Storage,30.016,4,0.2,3.0016
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Binders,10.8,5,0.0,5.184
Standard Class,Consumer,United States,Allen,Texas,75002,Central,Furniture,Tables,244.006,2,0.3,-31.3722
Standard Class,Consumer,United States,Allen,Texas,75002,Central,Office Supplies,Paper,15.936,4,0.2,5.3784
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,895.92,4,0.0,421.0824
Standard Class,Home Office,United States,Sterling Heights,Michigan,48310,Central,Office Supplies,Binders,19.0,5,0.0,8.93
Standard Class,Home Office,United States,Eau Claire,Wisconsin,54703,Central,Office Supplies,Binders,91.68,3,0.0,45.84
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Office Supplies,Storage,727.296,8,0.2,-172.7328
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Technology,Accessories,666.4,7,0.2,-33.32
Standard Class,Consumer,United States,Brownsville,Texas,78521,Central,Furniture,Bookcases,327.7328,2,0.32,-14.4588
Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Furniture,Bookcases,194.32,4,0.0,31.0912
Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Office Supplies,Art,25.99,1,0.0,7.5371
Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Art,13.9,5,0.0,3.614
Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,26.38,1,0.0,12.1348
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Technology,Phones,517.9,2,0.0,134.654
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,5.28,2,0.0,2.4288
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Copiers,2799.96,5,0.2,874.9875
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,26.88,8,0.2,9.744
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,342.864,3,0.2,38.5722
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Furnishings,16.74,5,0.6,-14.229
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Chairs,981.372,2,0.3,-140.196
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,252.784,4,0.8,-417.0936
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Accessories,127.984,2,0.2,15.998
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,3.984,2,0.6,-2.6892
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,12.992,2,0.8,-32.48
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Supplies,31.68,4,0.2,2.772
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Fasteners,12.032,8,0.2,2.256
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Appliances,5.768,2,0.8,-13.5548
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Labels,33.12,4,0.2,11.592
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,220.2656,4,0.32,-42.1096
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Labels,15.712,4,0.2,5.6956
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Storage,298.464,6,0.2,26.1156
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,21.93,3,0.0,10.0878
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,242.94,3,0.0,4.8588
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,7.64,1,0.0,3.7436
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,51.84,8,0.0,25.4016
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,265.17,1,0.0,47.7306
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.56,5,0.8,-45.84
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Storage,77.952,3,0.2,-15.5904
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Phones,67.992,1,0.2,8.499
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Envelopes,12.224,2,0.2,4.4312
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Accessories,44.784,2,0.2,-0.5598
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Furnishings,22.848,3,0.6,-17.7072
Same Day,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,210.392,2,0.8,-336.6272
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Furniture,Chairs,347.802,7,0.3,-24.843
Standard Class,Corporate,United States,Maple Grove,Minnesota,55369,Central,Office Supplies,Binders,735.98,2,0.0,331.191
Second Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,5.18,5,0.8,-8.029
First Class,Consumer,United States,Lansing,Michigan,48911,Central,Furniture,Furnishings,67.0,5,0.0,32.16
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,3.168,2,0.8,-4.752
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,0.3,0.0
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Art,13.392,3,0.2,1.5066
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,181.86,7,0.0,50.9208
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,74.352,3,0.2,26.9526
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Storage,12.672,3,0.2,-3.168
Standard Class,Corporate,United States,Missouri City,Texas,77489,Central,Office Supplies,Binders,6.37,7,0.8,-9.555
First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Binders,3.648,3,0.8,-6.0192
First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Paper,31.104,6,0.2,10.8864
Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Envelopes,13.392,3,0.2,5.022
Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Binders,11.228,7,0.8,-18.5262
Standard Class,Consumer,United States,Richmond,Indiana,47374,Central,Office Supplies,Appliances,207.24,11,0.0,58.0272
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,2.896,1,0.8,-4.7784
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Storage,32.544,2,0.2,-7.7292
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Chairs,318.43,5,0.3,-77.333
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Technology,Phones,122.92,7,0.2,46.095
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Furnishings,7.068,3,0.6,-2.8272
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,13.468,13,0.8,-22.8956
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Technology,Phones,219.8,5,0.2,24.7275
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Chairs,317.058,3,0.3,-18.1176
Standard Class,Corporate,United States,Grand Rapids,Michigan,49505,Central,Office Supplies,Fasteners,24.85,7,0.0,11.6795
Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7.056,3,0.2,2.205
Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Phones,27.184,2,0.2,2.0388
Standard Class,Home Office,United States,Highland Park,Illinois,60035,Central,Office Supplies,Binders,3.136,2,0.8,-4.704
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Office Supplies,Paper,20.736,4,0.2,7.2576
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Technology,Accessories,2.97,3,0.0,1.3068
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Fasteners,6.54,3,0.0,2.6814
Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Fasteners,18.24,3,0.0,9.12
Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Art,27.78,6,0.0,9.1674
Standard Class,Home Office,United States,Muskogee,Oklahoma,74403,Central,Office Supplies,Art,6.56,2,0.0,1.9024
Standard Class,Home Office,United States,Muskogee,Oklahoma,74403,Central,Office Supplies,Appliances,13.11,3,0.0,3.4086
Standard Class,Consumer,United States,Sterling Heights,Michigan,48310,Central,Office Supplies,Art,11.68,2,0.0,3.504
First Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.96,8,0.8,-52.632
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Office Supplies,Envelopes,12.984,3,0.2,4.7067
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Technology,Phones,217.584,2,0.2,19.0386
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Technology,Phones,328.776,3,0.2,28.7679
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Office Supplies,Binders,2.286,3,0.8,-3.6576
Second Class,Corporate,United States,Laredo,Texas,78041,Central,Technology,Accessories,47.984,2,0.2,14.3952
Second Class,Corporate,United States,Round Rock,Texas,78664,Central,Furniture,Furnishings,341.96,5,0.6,-427.45
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,896.99,5,0.8,-1480.0335
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,1.234,1,0.8,-1.9744
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Art,67.56,3,0.2,6.756
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Paper,21.72,5,0.2,7.8735
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Paper,262.336,8,0.2,95.0968
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,148.48,2,0.2,16.704
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,241.176,3,0.2,15.0735
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Accessories,227.976,3,0.2,28.497
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Phones,52.68,3,0.2,19.755
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,2.032,1,0.6,-1.3208
First Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,16.03,5,0.8,-25.648
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,73.008,9,0.2,26.4654
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,3.208,2,0.8,-5.2932
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Accessories,26.176,2,0.2,-3.272
Second Class,Corporate,United States,Houston,Texas,77036,Central,Furniture,Furnishings,9.552,3,0.6,-3.8208
Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Paper,14.352,3,0.2,4.485
Same Day,Consumer,United States,Norman,Oklahoma,73071,Central,Technology,Accessories,1287.45,5,0.0,244.6155
First Class,Corporate,United States,Conroe,Texas,77301,Central,Office Supplies,Storage,111.672,9,0.2,6.9795
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Binders,13.776,6,0.8,-22.0416
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,10.272,3,0.2,3.21
Second Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,6.848,2,0.2,2.14
First Class,Consumer,United States,Pasadena,Texas,77506,Central,Office Supplies,Binders,6.928,1,0.8,-11.0848
Standard Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Storage,443.92,4,0.0,13.3176
Standard Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Binders,169.99,1,0.0,78.1954
Standard Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Paper,25.92,4,0.0,12.4416
First Class,Corporate,United States,Tinley Park,Illinois,60477,Central,Furniture,Furnishings,22.288,7,0.6,-8.9152
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings,65.424,4,0.6,-52.3392
Same Day,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Fasteners,1.81,1,0.0,0.6516
Same Day,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Binders,8.26,2,0.0,3.8822
Standard Class,Home Office,United States,Dubuque,Iowa,52001,Central,Office Supplies,Binders,15.24,4,0.0,6.858
Standard Class,Home Office,United States,Dubuque,Iowa,52001,Central,Furniture,Chairs,1408.1,10,0.0,394.268
First Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,15.08,2,0.8,-22.62
First Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,24.288,3,0.6,-12.7512
Same Day,Consumer,United States,Dallas,Texas,75217,Central,Furniture,Furnishings,16.192,2,0.6,-8.5008
Same Day,Consumer,United States,Dallas,Texas,75217,Central,Furniture,Tables,251.006,2,0.3,-68.1302
Same Day,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,54.192,6,0.2,4.0644
Second Class,Corporate,United States,Dallas,Texas,75081,Central,Technology,Phones,492.768,4,0.2,55.4364
Standard Class,Consumer,United States,Dearborn Heights,Michigan,48127,Central,Furniture,Chairs,180.98,1,0.0,47.0548
Standard Class,Consumer,United States,Dearborn Heights,Michigan,48127,Central,Technology,Accessories,99.98,2,0.0,42.9914
First Class,Corporate,United States,Overland Park,Kansas,66212,Central,Technology,Accessories,34.95,5,0.0,15.378
First Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Binders,152.0,5,0.0,69.92
Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Furniture,Chairs,408.422,2,0.3,-5.8346
Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Furniture,Chairs,382.116,6,0.3,-92.7996
Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Office Supplies,Storage,68.6,5,0.2,6.0025
Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Office Supplies,Storage,435.504,3,0.2,48.9942
Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Office Supplies,Paper,11.168,2,0.2,3.7692
Standard Class,Corporate,United States,Saint Cloud,Minnesota,56301,Central,Technology,Accessories,72.0,4,0.0,12.96
Standard Class,Corporate,United States,Saint Cloud,Minnesota,56301,Central,Technology,Accessories,655.9,5,0.0,275.478
Standard Class,Corporate,United States,Saint Cloud,Minnesota,56301,Central,Furniture,Chairs,603.92,4,0.0,181.176
Same Day,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
Same Day,Consumer,United States,Austin,Texas,78745,Central,Technology,Accessories,95.736,3,0.2,20.3439
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Technology,Phones,201.584,2,0.2,20.1584
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Office Supplies,Binders,3.392,4,0.8,-5.088
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Furniture,Bookcases,193.0656,4,0.32,-19.8744
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Office Supplies,Paper,15.552,3,0.2,5.4432
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Office Supplies,Paper,11.648,2,0.2,4.0768
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Technology,Machines,418.8,2,0.4,-97.72
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Office Supplies,Storage,509.488,7,0.2,-127.372
First Class,Corporate,United States,Chicago,Illinois,60653,Central,Furniture,Bookcases,825.174,9,0.3,-117.882
First Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Paper,17.76,3,0.2,5.55
First Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Art,6.912,3,0.2,0.864
First Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Tables,796.425,7,0.5,-525.6405
Second Class,Corporate,United States,Des Moines,Iowa,50315,Central,Office Supplies,Paper,40.46,7,0.0,19.8254
Second Class,Corporate,United States,Des Moines,Iowa,50315,Central,Technology,Phones,404.94,3,0.0,109.3338
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Technology,Phones,657.552,6,0.2,49.3164
Standard Class,Corporate,United States,Lafayette,Indiana,47905,Central,Office Supplies,Art,21.4,5,0.0,6.206
Second Class,Consumer,United States,College Station,Texas,77840,Central,Office Supplies,Paper,28.672,8,0.2,10.3936
Second Class,Consumer,United States,College Station,Texas,77840,Central,Office Supplies,Appliances,29.312,8,0.8,-74.7456
Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Paper,45.528,3,0.2,15.9348
Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,844.116,6,0.3,-36.1764
Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Phones,812.736,8,0.2,60.9552
Standard Class,Home Office,United States,Independence,Missouri,64055,Central,Office Supplies,Binders,1577.94,3,0.0,757.4112
Second Class,Home Office,United States,Dallas,Texas,75220,Central,Furniture,Furnishings,15.008,4,0.6,-12.0064
Standard Class,Corporate,United States,Mesquite,Texas,75150,Central,Office Supplies,Paper,5.184,1,0.2,1.8144
Standard Class,Consumer,United States,Fremont,Nebraska,68025,Central,Office Supplies,Paper,104.85,1,0.0,50.328
Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Office Supplies,Art,3.9,2,0.0,1.521
Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Furniture,Tables,801.96,2,0.0,200.49
Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Furniture,Chairs,191.96,2,0.0,32.6332
Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Office Supplies,Labels,2.61,1,0.0,1.2006
Second Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Supplies,2.92,1,0.2,0.365
Second Class,Corporate,United States,Dallas,Texas,75217,Central,Technology,Accessories,58.416,2,0.2,16.7946
First Class,Corporate,United States,San Antonio,Texas,78207,Central,Furniture,Tables,718.116,6,0.3,-71.8116
First Class,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,31.776,4,0.2,8.7384
Second Class,Consumer,United States,Detroit,Michigan,48234,Central,Technology,Accessories,104.88,6,0.0,41.952
Second Class,Consumer,United States,Detroit,Michigan,48234,Central,Office Supplies,Art,34.7,5,0.0,12.492
Second Class,Consumer,United States,Detroit,Michigan,48234,Central,Office Supplies,Binders,33.72,4,0.0,15.5112
Second Class,Consumer,United States,Detroit,Michigan,48234,Central,Office Supplies,Paper,14.94,3,0.0,7.0218
Standard Class,Consumer,United States,Lawrence,Indiana,46226,Central,Office Supplies,Appliances,638.73,9,0.0,166.0698
Second Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Phones,377.97,3,0.0,94.4925
