,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
2646,Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Binders,42.81,3,0.0,20.1207
2647,Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Paper,12.96,2,0.0,6.2208
2648,Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,Furnishings,821.88,6,0.0,213.6888
2649,Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Technology,Phones,104.85,3,0.0,28.3095
2662,First Class,Home Office,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,8.76,2,0.0,4.2048
2666,Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories,79.512,3,0.2,20.8719
2667,Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Office Supplies,Paper,28.352,1,0.2,9.5688
2679,Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,14.4,5,0.0,7.056
2680,Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Accessories,619.95,5,0.0,111.591
2681,Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,89.52,4,0.0,42.0744
2682,Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Machines,350.973,3,0.1,152.0883
2683,Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Phones,164.99,1,0.0,49.497
2687,First Class,Consumer,United States,Peoria,Illinois,61604,Central,Office Supplies,Binders,3.98,5,0.8,-6.567
2689,First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Art,5.248,4,0.2,1.64
2719,Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings,23.976,3,0.6,-14.3856
2747,Standard Class,Home Office,United States,Frisco,Texas,75034,Central,Technology,Accessories,27.168,4,0.2,-1.3584
2768,Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,32.192,2,0.8,-80.48
2769,Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories,50.12,7,0.2,-0.6265
2770,Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories,47.976,3,0.2,1.7991
2771,Standard Class,Consumer,United States,Waukesha,Wisconsin,53186,Central,Office Supplies,Storage,54.5,5,0.0,14.17
2773,Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,Binders,49.44,3,0.0,24.2256
2781,Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Art,22.0,10,0.0,9.68
2782,Standard Class,Consumer,United States,Detroit,Michigan,48234,Central,Technology,Phones,257.98,2,0.0,74.8142
2787,Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Furniture,Furnishings,58.36,5,0.6,-24.803
2788,Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Office Supplies,Art,16.464,7,0.2,1.4406
2789,Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Furniture,Furnishings,39.96,5,0.6,-23.976
2790,First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Appliances,25.96,2,0.0,7.5284
2791,First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Appliances,36.27,3,0.0,10.881
2792,First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Paper,6.48,1,0.0,3.1104
2805,Standard Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Chairs,47.516,2,0.3,-2.0364
2810,Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Paper,179.82,9,0.0,84.5154
2811,Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,185.58,6,0.0,76.0878
2812,Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables,214.11,3,0.0,36.3987
2813,Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Technology,Accessories,999.96,4,0.0,229.9908
2814,Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables,653.55,3,0.0,111.1035
2822,First Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Art,8.928,2,0.2,0.558
2823,First Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Storage,47.584,2,0.2,-2.974
2824,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Paper,33.792,8,0.2,10.56
2825,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,300.5328,2,0.32,-97.2312
2826,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Binders,2.724,2,0.8,-4.3584
2827,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,3.264,2,0.2,1.1016
2842,Standard Class,Consumer,United States,Huntsville,Texas,77340,Central,Office Supplies,Storage,143.728,2,0.2,-32.3388
2844,Standard Class,Corporate,United States,Woodstock,Illinois,60098,Central,Furniture,Chairs,845.488,8,0.3,-12.0784
2846,Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,762.594,3,0.8,-1143.891
2851,Standard Class,Home Office,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper,28.16,4,0.0,13.2352
2855,Standard Class,Consumer,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Labels,20.23,7,0.0,9.5081
2882,Standard Class,Consumer,United States,Woodstock,Illinois,60098,Central,Office Supplies,Binders,8.85,5,0.8,-13.7175
2898,Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Chairs,408.422,2,0.3,-5.8346
2902,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,23.12,5,0.2,8.381
2903,Standard Class,Corporate,United States,Highland Park,Illinois,60035,Central,Office Supplies,Paper,37.464,7,0.2,12.1758
2904,Standard Class,Corporate,United States,Highland Park,Illinois,60035,Central,Furniture,Chairs,539.658,3,0.3,-7.7094
2906,Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Paper,8.56,2,0.0,3.852
2907,Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Storage,52.4,5,0.0,14.148
2908,Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Labels,14.94,3,0.0,6.8724
2914,Second Class,Consumer,United States,Noblesville,Indiana,46060,Central,Technology,Phones,135.72,3,0.0,35.2872
2915,Second Class,Consumer,United States,Noblesville,Indiana,46060,Central,Office Supplies,Binders,12.56,2,0.0,5.652
2916,Second Class,Consumer,United States,Noblesville,Indiana,46060,Central,Technology,Phones,263.96,4,0.0,71.2692
2917,First Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Art,5.952,1,0.2,0.372
2922,Second Class,Home Office,United States,Austin,Texas,78745,Central,Office Supplies,Binders,3.882,3,0.8,-5.823
2923,Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Fasteners,6.08,1,0.0,3.04
2927,Standard Class,Consumer,United States,Apple Valley,Minnesota,55124,Central,Office Supplies,Art,8.64,3,0.0,2.5056
2929,Standard Class,Home Office,United States,Saginaw,Michigan,48601,Central,Furniture,Furnishings,19.76,4,0.0,8.2992
2940,Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,90.99,1,0.0,14.5584
2941,Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,1526.56,7,0.0,427.4368
2942,Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,368.97,3,0.0,40.5867
2966,Standard Class,Consumer,United States,Skokie,Illinois,60076,Central,Furniture,Furnishings,32.952,6,0.6,-19.7712
2967,Standard Class,Consumer,United States,Skokie,Illinois,60076,Central,Office Supplies,Storage,30.016,4,0.2,3.0016
2973,Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Binders,10.8,5,0.0,5.184
2974,Standard Class,Consumer,United States,Allen,Texas,75002,Central,Furniture,Tables,244.006,2,0.3,-31.3722
2975,Standard Class,Consumer,United States,Allen,Texas,75002,Central,Office Supplies,Paper,15.936,4,0.2,5.3784
2993,Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,895.92,4,0.0,421.0824
3002,Standard Class,Home Office,United States,Sterling Heights,Michigan,48310,Central,Office Supplies,Binders,19.0,5,0.0,8.93
3005,Standard Class,Home Office,United States,Eau Claire,Wisconsin,54703,Central,Office Supplies,Binders,91.68,3,0.0,45.84
3016,Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Office Supplies,Storage,727.296,8,0.2,-172.7328
3017,Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736
3018,Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Technology,Accessories,666.4,7,0.2,-33.32
3023,Standard Class,Consumer,United States,Brownsville,Texas,78521,Central,Furniture,Bookcases,327.7328,2,0.32,-14.4588
3030,Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Furniture,Bookcases,194.32,4,0.0,31.0912
3031,Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Office Supplies,Art,25.99,1,0.0,7.5371
3045,Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Art,13.9,5,0.0,3.614
3046,Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,26.38,1,0.0,12.1348
3053,Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Technology,Phones,517.9,2,0.0,134.654
3054,Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,5.28,2,0.0,2.4288
3055,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Copiers,2799.96,5,0.2,874.9875
3061,Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,26.88,8,0.2,9.744
3075,Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,342.864,3,0.2,38.5722
3076,Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Furnishings,16.74,5,0.6,-14.229
3077,Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Chairs,981.372,2,0.3,-140.196
3084,Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,252.784,4,0.8,-417.0936
3085,Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Accessories,127.984,2,0.2,15.998
3086,Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,3.984,2,0.6,-2.6892
3087,Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,12.992,2,0.8,-32.48
3093,Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Supplies,31.68,4,0.2,2.772
3094,Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
3095,Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Fasteners,12.032,8,0.2,2.256
3096,Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Appliances,5.768,2,0.8,-13.5548
3097,Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Labels,33.12,4,0.2,11.592
3098,Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,220.2656,4,0.32,-42.1096
3105,Standard Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Labels,15.712,4,0.2,5.6956
3106,Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Storage,298.464,6,0.2,26.1156
3107,Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,21.93,3,0.0,10.0878
3108,Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,242.94,3,0.0,4.8588
3109,Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,7.64,1,0.0,3.7436
3110,Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,51.84,8,0.0,25.4016
3111,Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,265.17,1,0.0,47.7306
3134,Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.56,5,0.8,-45.84
3135,Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Storage,77.952,3,0.2,-15.5904
3136,Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Phones,67.992,1,0.2,8.499
3137,Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Envelopes,12.224,2,0.2,4.4312
3138,Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Accessories,44.784,2,0.2,-0.5598
3139,Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Furnishings,22.848,3,0.6,-17.7072
3141,Same Day,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,210.392,2,0.8,-336.6272
3144,Standard Class,Corporate,United States,Austin,Texas,78745,Central,Furniture,Chairs,347.802,7,0.3,-24.843
3154,Standard Class,Corporate,United States,Maple Grove,Minnesota,55369,Central,Office Supplies,Binders,735.98,2,0.0,331.191
3160,Second Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,5.18,5,0.8,-8.029
3167,First Class,Consumer,United States,Lansing,Michigan,48911,Central,Furniture,Furnishings,67.0,5,0.0,32.16
3171,Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,3.168,2,0.8,-4.752
3172,Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,0.3,0.0
3173,Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Art,13.392,3,0.2,1.5066
3174,Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,181.86,7,0.0,50.9208
3185,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782
3186,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,74.352,3,0.2,26.9526
3190,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Storage,12.672,3,0.2,-3.168
3192,Standard Class,Corporate,United States,Missouri City,Texas,77489,Central,Office Supplies,Binders,6.37,7,0.8,-9.555
3193,First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Binders,3.648,3,0.8,-6.0192
3194,First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Paper,31.104,6,0.2,10.8864
3210,Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Envelopes,13.392,3,0.2,5.022
3211,Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Binders,11.228,7,0.8,-18.5262
3212,Standard Class,Consumer,United States,Richmond,Indiana,47374,Central,Office Supplies,Appliances,207.24,11,0.0,58.0272
3231,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782
3232,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,2.896,1,0.8,-4.7784
3233,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Storage,32.544,2,0.2,-7.7292
3238,Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Chairs,318.43,5,0.3,-77.333
3239,Standard Class,Corporate,United States,Houston,Texas,77095,Central,Technology,Phones,122.92,7,0.2,46.095
3240,Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Furnishings,7.068,3,0.6,-2.8272
3242,Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,13.468,13,0.8,-22.8956
3243,Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Technology,Phones,219.8,5,0.2,24.7275
3244,Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Chairs,317.058,3,0.3,-18.1176
3250,Standard Class,Corporate,United States,Grand Rapids,Michigan,49505,Central,Office Supplies,Fasteners,24.85,7,0.0,11.6795
3252,Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7.056,3,0.2,2.205
3253,Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Phones,27.184,2,0.2,2.0388
3259,Standard Class,Home Office,United States,Highland Park,Illinois,60035,Central,Office Supplies,Binders,3.136,2,0.8,-4.704
3260,First Class,Corporate,United States,Pasadena,Texas,77506,Central,Office Supplies,Paper,20.736,4,0.2,7.2576
3269,Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Technology,Accessories,2.97,3,0.0,1.3068
3270,Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Fasteners,6.54,3,0.0,2.6814
3274,Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Fasteners,18.24,3,0.0,9.12
3275,Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Art,27.78,6,0.0,9.1674
3285,Standard Class,Home Office,United States,Muskogee,Oklahoma,74403,Central,Office Supplies,Art,6.56,2,0.0,1.9024
3286,Standard Class,Home Office,United States,Muskogee,Oklahoma,74403,Central,Office Supplies,Appliances,13.11,3,0.0,3.4086
3291,Standard Class,Consumer,United States,Sterling Heights,Michigan,48310,Central,Office Supplies,Art,11.68,2,0.0,3.504
3294,First Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.96,8,0.8,-52.632
3304,Second Class,Corporate,United States,Laredo,Texas,78041,Central,Office Supplies,Envelopes,12.984,3,0.2,4.7067
3305,Second Class,Corporate,United States,Laredo,Texas,78041,Central,Technology,Phones,217.584,2,0.2,19.0386
3306,Second Class,Corporate,United States,Laredo,Texas,78041,Central,Technology,Phones,328.776,3,0.2,28.7679
3307,Second Class,Corporate,United States,Laredo,Texas,78041,Central,Office Supplies,Binders,2.286,3,0.8,-3.6576
3308,Second Class,Corporate,United States,Laredo,Texas,78041,Central,Technology,Accessories,47.984,2,0.2,14.3952
3316,Second Class,Corporate,United States,Round Rock,Texas,78664,Central,Furniture,Furnishings,341.96,5,0.6,-427.45
3324,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,896.99,5,0.8,-1480.0335
3325,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,1.234,1,0.8,-1.9744
3326,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Art,67.56,3,0.2,6.756
3327,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Paper,21.72,5,0.2,7.8735
3328,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Paper,262.336,8,0.2,95.0968
3329,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,148.48,2,0.2,16.704
3330,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,241.176,3,0.2,15.0735
3331,Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Accessories,227.976,3,0.2,28.497
3332,Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Phones,52.68,3,0.2,19.755
3333,Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Furnishings,2.032,1,0.6,-1.3208
3348,First Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,16.03,5,0.8,-25.648
3357,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,73.008,9,0.2,26.4654
3358,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,3.208,2,0.8,-5.2932
3359,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Accessories,26.176,2,0.2,-3.272
3364,Second Class,Corporate,United States,Houston,Texas,77036,Central,Furniture,Furnishings,9.552,3,0.6,-3.8208
3366,Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
3367,Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Paper,14.352,3,0.2,4.485
3370,Same Day,Consumer,United States,Norman,Oklahoma,73071,Central,Technology,Accessories,1287.45,5,0.0,244.6155
3377,First Class,Corporate,United States,Conroe,Texas,77301,Central,Office Supplies,Storage,111.672,9,0.2,6.9795
3378,Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Binders,13.776,6,0.8,-22.0416
3379,Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,10.272,3,0.2,3.21
3390,Second Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,6.848,2,0.2,2.14
3393,First Class,Consumer,United States,Pasadena,Texas,77506,Central,Office Supplies,Binders,6.928,1,0.8,-11.0848
3395,Standard Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Storage,443.92,4,0.0,13.3176
3396,Standard Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Binders,169.99,1,0.0,78.1954
3397,Standard Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Paper,25.92,4,0.0,12.4416
3402,First Class,Corporate,United States,Tinley Park,Illinois,60477,Central,Furniture,Furnishings,22.288,7,0.6,-8.9152
3403,Standard Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings,65.424,4,0.6,-52.3392
3415,Same Day,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Fasteners,1.81,1,0.0,0.6516
3416,Same Day,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Binders,8.26,2,0.0,3.8822
3425,Standard Class,Home Office,United States,Dubuque,Iowa,52001,Central,Office Supplies,Binders,15.24,4,0.0,6.858
3426,Standard Class,Home Office,United States,Dubuque,Iowa,52001,Central,Furniture,Chairs,1408.1,10,0.0,394.268
3435,First Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,15.08,2,0.8,-22.62
3436,First Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,24.288,3,0.6,-12.7512
3437,Same Day,Consumer,United States,Dallas,Texas,75217,Central,Furniture,Furnishings,16.192,2,0.6,-8.5008
3438,Same Day,Consumer,United States,Dallas,Texas,75217,Central,Furniture,Tables,251.006,2,0.3,-68.1302
3439,Same Day,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,54.192,6,0.2,4.0644
3461,Second Class,Corporate,United States,Dallas,Texas,75081,Central,Technology,Phones,492.768,4,0.2,55.4364
3473,Standard Class,Consumer,United States,Dearborn Heights,Michigan,48127,Central,Furniture,Chairs,180.98,1,0.0,47.0548
3474,Standard Class,Consumer,United States,Dearborn Heights,Michigan,48127,Central,Technology,Accessories,99.98,2,0.0,42.9914
3475,First Class,Corporate,United States,Overland Park,Kansas,66212,Central,Technology,Accessories,34.95,5,0.0,15.378
3476,First Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Binders,152.0,5,0.0,69.92
3488,Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Furniture,Chairs,408.422,2,0.3,-5.8346
3489,Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Furniture,Chairs,382.116,6,0.3,-92.7996
3490,Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Office Supplies,Storage,68.6,5,0.2,6.0025
3491,Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Office Supplies,Storage,435.504,3,0.2,48.9942
3492,Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Office Supplies,Paper,11.168,2,0.2,3.7692
3493,Standard Class,Corporate,United States,Saint Cloud,Minnesota,56301,Central,Technology,Accessories,72.0,4,0.0,12.96
3494,Standard Class,Corporate,United States,Saint Cloud,Minnesota,56301,Central,Technology,Accessories,655.9,5,0.0,275.478
3495,Standard Class,Corporate,United States,Saint Cloud,Minnesota,56301,Central,Furniture,Chairs,603.92,4,0.0,181.176
3502,Same Day,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
3503,Same Day,Consumer,United States,Austin,Texas,78745,Central,Technology,Accessories,95.736,3,0.2,20.3439
3505,Standard Class,Consumer,United States,Plano,Texas,75023,Central,Technology,Phones,201.584,2,0.2,20.1584
3506,Standard Class,Consumer,United States,Plano,Texas,75023,Central,Office Supplies,Binders,3.392,4,0.8,-5.088
3507,Standard Class,Consumer,United States,Plano,Texas,75023,Central,Furniture,Bookcases,193.0656,4,0.32,-19.8744
3508,Standard Class,Consumer,United States,Plano,Texas,75023,Central,Office Supplies,Paper,15.552,3,0.2,5.4432
3509,Standard Class,Consumer,United States,Plano,Texas,75023,Central,Office Supplies,Paper,11.648,2,0.2,4.0768
3510,Standard Class,Consumer,United States,Plano,Texas,75023,Central,Technology,Machines,418.8,2,0.4,-97.72
3511,Standard Class,Consumer,United States,Plano,Texas,75023,Central,Office Supplies,Storage,509.488,7,0.2,-127.372
3512,First Class,Corporate,United States,Chicago,Illinois,60653,Central,Furniture,Bookcases,825.174,9,0.3,-117.882
3513,First Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Paper,17.76,3,0.2,5.55
3514,First Class,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Art,6.912,3,0.2,0.864
3519,First Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Tables,796.425,7,0.5,-525.6405
3521,Second Class,Corporate,United States,Des Moines,Iowa,50315,Central,Office Supplies,Paper,40.46,7,0.0,19.8254
3522,Second Class,Corporate,United States,Des Moines,Iowa,50315,Central,Technology,Phones,404.94,3,0.0,109.3338
3524,Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Technology,Phones,657.552,6,0.2,49.3164
3530,Standard Class,Corporate,United States,Lafayette,Indiana,47905,Central,Office Supplies,Art,21.4,5,0.0,6.206
3544,Second Class,Consumer,United States,College Station,Texas,77840,Central,Office Supplies,Paper,28.672,8,0.2,10.3936
3545,Second Class,Consumer,United States,College Station,Texas,77840,Central,Office Supplies,Appliances,29.312,8,0.8,-74.7456
3550,Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Paper,45.528,3,0.2,15.9348
3551,Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,844.116,6,0.3,-36.1764
3552,Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Phones,812.736,8,0.2,60.9552
3566,Standard Class,Home Office,United States,Independence,Missouri,64055,Central,Office Supplies,Binders,1577.94,3,0.0,757.4112
3567,Second Class,Home Office,United States,Dallas,Texas,75220,Central,Furniture,Furnishings,15.008,4,0.6,-12.0064
3572,Standard Class,Corporate,United States,Mesquite,Texas,75150,Central,Office Supplies,Paper,5.184,1,0.2,1.8144
3581,Standard Class,Consumer,United States,Fremont,Nebraska,68025,Central,Office Supplies,Paper,104.85,1,0.0,50.328
3582,Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Office Supplies,Art,3.9,2,0.0,1.521
3583,Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Furniture,Tables,801.96,2,0.0,200.49
3584,Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Furniture,Chairs,191.96,2,0.0,32.6332
3585,Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Office Supplies,Labels,2.61,1,0.0,1.2006
3591,Second Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Supplies,2.92,1,0.2,0.365
3611,Second Class,Corporate,United States,Dallas,Texas,75217,Central,Technology,Accessories,58.416,2,0.2,16.7946
